"","x"
"1","TCGA-05-4244-01A"
"2","TCGA-05-4249-01A"
"3","TCGA-05-4250-01A"
"4","TCGA-05-4382-01A"
"5","TCGA-05-4384-01A"
"6","TCGA-05-4389-01A"
"7","TCGA-05-4390-01A"
"8","TCGA-05-4395-01A"
"9","TCGA-05-4396-01A"
"10","TCGA-05-4397-01A"
"11","TCGA-05-4398-01A"
"12","TCGA-05-4402-01A"
"13","TCGA-05-4403-01A"
"14","TCGA-05-4405-01A"
"15","TCGA-05-4410-01A"
"16","TCGA-05-4415-01A"
"17","TCGA-05-4417-01A"
"18","TCGA-05-4418-01A"
"19","TCGA-05-4420-01A"
"20","TCGA-05-4422-01A"
"21","TCGA-05-4424-01A"
"22","TCGA-05-4425-01A"
"23","TCGA-05-4426-01A"
"24","TCGA-05-4427-01A"
"25","TCGA-05-4430-01A"
"26","TCGA-05-4432-01A"
"27","TCGA-05-4433-01A"
"28","TCGA-05-4434-01A"
"29","TCGA-05-5420-01A"
"30","TCGA-05-5423-01A"
"31","TCGA-05-5425-01A"
"32","TCGA-05-5428-01A"
"33","TCGA-05-5429-01A"
"34","TCGA-05-5715-01A"
"35","TCGA-35-3615-01A"
"36","TCGA-35-4122-01A"
"37","TCGA-35-4123-01A"
"38","TCGA-35-5375-01A"
"39","TCGA-38-4625-01A"
"40","TCGA-38-4626-01A"
"41","TCGA-38-4627-01A"
"42","TCGA-38-4628-01A"
"43","TCGA-38-4629-01A"
"44","TCGA-38-4630-01A"
"45","TCGA-38-4631-01A"
"46","TCGA-38-4632-01A"
"47","TCGA-38-6178-01A"
"48","TCGA-38-7271-01A"
"49","TCGA-38-A44F-01A"
"50","TCGA-44-2655-01A"
"51","TCGA-44-2656-01A"
"52","TCGA-44-2656-01B"
"53","TCGA-44-2657-01A"
"54","TCGA-44-2659-01A"
"55","TCGA-44-2661-01A"
"56","TCGA-44-2662-01A"
"57","TCGA-44-2662-01B"
"58","TCGA-44-2665-01A"
"59","TCGA-44-2665-01B"
"60","TCGA-44-2666-01A"
"61","TCGA-44-2666-01B"
"62","TCGA-44-2668-01A"
"63","TCGA-44-2668-01B"
"64","TCGA-44-3396-01A"
"65","TCGA-44-3398-01A"
"66","TCGA-44-3917-01A"
"67","TCGA-44-3917-01B"
"68","TCGA-44-3918-01A"
"69","TCGA-44-3918-01B"
