,gene_name,entrez_id
1,A1BG,1
2,A2M,2
3,NAT1,9
4,NAT2,10
5,SERPINA3,12
6,AADAC,13
7,AAMP,14
8,AANAT,15
9,AARS1,16
10,ABAT,18
11,ABCA1,19
12,ABCA2,20
13,ABCA3,21
14,ABCB7,22
15,ABCF1,23
16,ABCA4,24
17,ABL1,25
18,AOC1,26
19,ABL2,27
20,ABO,28
21,ABR,29
22,ACAA1,30
23,ACACA,31
24,ACACB,32
25,ACADL,33
26,ACADM,34
27,ACADS,35
28,ACADSB,36
29,ACADVL,37
30,ACAT1,38
31,ACAT2,39
32,ASIC2,40
33,ASIC1,41
34,ACHE,43
35,ACLY,47
36,ACO1,48
37,ACR,49
38,ACO2,50
39,ACOX1,51
40,ACP1,52
41,ACP5,54
42,ACPP,55
43,ACRV1,56
44,ACTA1,58
45,ACTA2,59
46,ACTB,60
47,ACTC1,70
48,ACTG1,71
49,ACTG2,72
50,ACTN4,81
51,ACTL6A,86
52,ACTN1,87
53,ACTN2,88
54,ACTN3,89
55,ACVR1,90
56,ACVR1B,91
57,ACVR2A,92
58,ACVR2B,93
59,ACVRL1,94
60,ACY1,95
61,ACYP1,97
62,ACYP2,98
63,ADA,100
64,ADAM8,101
65,ADAM10,102
66,ADAR,103
67,ADARB1,104
68,ADARB2,105
69,ADCY1,107
70,ADCY2,108
71,ADCY3,109
72,ADCY5,111
73,ADCY6,112
74,ADCY7,113
75,ADCY8,114
76,ADCY9,115
77,ADCYAP1,116
78,ADCYAP1R1,117
79,ADD1,118
80,ADD2,119
81,ADD3,120
82,PLIN2,123
83,ADH1A,124
84,ADH1B,125
85,ADH1C,126
86,ADH4,127
87,ADH5,128
88,ADH6,130
89,ADH7,131
90,ADK,132
91,ADM,133
92,ADORA1,134
93,ADORA2A,135
94,ADORA2B,136
95,ADORA3,140
96,ADPRH,141
97,PARP1,142
98,PARP4,143
99,PARP1P1,144
100,ADRA1D,146
101,ADRA1B,147
102,ADRA1A,148
103,ADRA2A,150
104,ADRA2B,151
105,ADRA2C,152
106,ADRB1,153
107,ADRB2,154
108,ADRB3,155
109,GRK2,156
110,GRK3,157
111,ADSL,158
112,ADSS2,159
113,AP2A1,160
114,AP2A2,161
115,AP1B1,162
116,AP2B1,163
117,AP1G1,164
118,AEBP1,165
119,TLE5,166
120,CRISP1,167
121,AFM,173
122,AFP,174
123,AGA,175
124,ACAN,176
125,AGER,177
126,AGL,178
127,AGRP,181
128,JAG1,182
129,AGT,183
130,AGTR1,185
131,AGTR2,186
132,APLNR,187
133,AGXT,189
134,NR0B1,190
135,AHCY,191
136,AHR,196
137,AHSG,197
138,AIF1,199
139,CRYBG1,202
140,AK1,203
141,AK2,204
142,AK4,205
143,AKT1,207
144,AKT2,208
145,ALAD,210
